player_id;name;height;weight;group;group_id;position;birthdate;foot;country_id;nickname;player_picture_url;team_id;number
1;Reece James;172;63;Defender;2;RB;1999/12/08;Right;1;R. JAMES;https://img.chelseafc.com/image/upload/f_auto,h_860,q_50/editorial/people/first-team/2024-25/With%20LN/James/Mens_3333x5000_Avatar_James_SF_Home_24_25_RGB.png;1;24
2;Cole Palmer;189;73;Attacking midfielder;4;MOC;2002/05/06;Left;1;C. PALMER;https://img.chelseafc.com/image/upload/f_auto,h_860,q_50/editorial/people/first-team/2024-25/With%20LN/Palmer/Mens_3333x5000_Avatar_Palmer_SF_Home_24_25_RGB.png;1;20
3;Moses Caicedo;178;74;Midfielder;3;MDC;2001/11/02;Right;3;M. CAICEDO;https://img.chelseafc.com/image/upload/f_auto,h_860,q_50/editorial/people/first-team/2024-25/With%20LN/Caicedo/Mens_3333x5000_Avatar_Caicedo_SF_Home_24_25_RGB.png;1;25
4;Christopher Nkunku;175;68;Striker;5;BU;1997/11/14;Right;4;C. NKUNKU;https://img.chelseafc.com/image/upload/f_auto,h_860,q_50/editorial/people/first-team/2024-25/With%20LN/Nkunku/Mens_3333x5000_Avatar_Nkunku_SF_Home_24_25_RGB.png;1;18
5;Robert Sanchez;197;87;Goalkeeper;1;GK;1997/11/18;Right;5;R. SANCHEZ;https://img.chelseafc.com/image/upload/f_auto,h_860,q_50/editorial/people/first-team/2024-25/With%20LN/Sanchez/Mens_3333x5000_Avatar_Sanchez_SF_Home_24_25_RGB.png;1;1
